2025-09-21 19:01:29,937 - INFO] Time 0.108 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 28.790 (27.885) | MSSSIM 0.889 (0.867) | Lr 0.0001
2025-09-21 19:01:30,116 - INFO] Time 0.106 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 21.677 (26.643) | MSSSIM 0.774 (0.848) | Lr 0.0001
2025-09-21 19:01:30,258 - INFO] Time 0.071 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 25.021 (26.373) | MSSSIM 0.809 (0.842) | Lr 0.0001
2025-09-21 19:01:30,403 - INFO] Time 0.072 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 27.338 (26.511) | MSSSIM 0.912 (0.852) | Lr 0.0001
2025-09-21 19:01:30,548 - INFO] Time 0.071 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 20.414 (25.749) | MSSSIM 0.809 (0.846) | Lr 0.0001
2025-09-21 19:01:30,738 - INFO] Time 0.113 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 28.064 (26.006) | MSSSIM 0.915 (0.854) | Lr 0.0001
2025-09-21 19:01:30,890 - INFO] Time 0.075 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 28.152 (26.220) | MSSSIM 0.911 (0.860) | Lr 0.0001
2025-09-21 19:01:31,079 - INFO] Time 0.113 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 25.985 (26.199) | MSSSIM 0.854 (0.859) | Lr 0.0001
2025-09-21 19:01:31,232 - INFO] Time 0.076 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 30.034 (26.519) | MSSSIM 0.915 (0.864) | Lr 0.0001
2025-09-21 19:01:31,385 - INFO] Time 0.076 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 20.827 (26.081) | MSSSIM 0.711 (0.852) | Lr 0.0001
2025-09-21 19:01:31,537 - INFO] Time 0.075 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 24.120 (25.941) | MSSSIM 0.799 (0.848) | Lr 0.0001
2025-09-21 19:01:31,689 - INFO] Time 0.076 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 28.545 (26.114) | MSSSIM 0.917 (0.853) | Lr 0.0001
2025-09-21 19:01:31,838 - INFO] Time 0.074 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 28.721 (26.277) | MSSSIM 0.877 (0.854) | Lr 0.0001
2025-09-21 19:01:32,029 - INFO] Time 0.114 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 27.887 (26.372) | MSSSIM 0.901 (0.857) | Lr 0.0001
2025-09-21 19:01:32,179 - INFO] Time 0.075 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 24.050 (26.243) | MSSSIM 0.795 (0.854) | Lr 0.0001
2025-09-21 19:01:32,331 - INFO] Time 0.077 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 26.246 (26.243) | MSSSIM 0.873 (0.855) | Lr 0.0001
2025-09-21 19:01:32,519 - INFO] Time 0.112 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 28.112 (26.337) | MSSSIM 0.931 (0.858) | Lr 0.0001
2025-09-21 19:01:32,670 - INFO] Time 0.075 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 24.798 (26.263) | MSSSIM 0.874 (0.859) | Lr 0.0001
